culno	gismu   	-clu-		      	x_1 está lleno/pleno de x_2	Ver también {kunti},  {tisna}.
cumki	gismu   	-cum-   	-cu'i-	      	x_1 (evento) es posible/puede ser/tal vez ocurra bajo condiciones x_2	Ver también {lakne}.
cumla	gismu   	-cul-		      	x_1 es humilde/modesto sobre x_2 (abstracción)	Ver también {jgira}.
cunmi	gismu			      	x_1 es una cantidad de mijo (grano) de especie/variedad x_2
cunso	gismu   	-cun-   	-cu'o-	      	x_1 (evento) es aleatorio/al azar bajo condiciones x_2, con distribución de probabilidad x_3	Ver también {funca},  {kalsa}.
cuntu	gismu   	-cu'u-		      	x_1 (evento) es un asunto/actividad de x_2
cupra	gismu   	-pra-		      	x_1 produce x_2 con proceso x_3	Ver también {zbasu}.
curmi	gismu   	-cru-		      	x_1 agente permite/autoriza/deja que ocurra x_2 bajo condiciones x_3	Ver también {fanta}.
curnu	gismu   	-cur-		      	x_1 es un gusano/lombriz de especie/raza x_2
curve	gismu   	-cuv-		      	x_1 es puro/no adulterado en propiedad x_2	Ver también {prane},  {manfo}.
cusku	gismu   	-cus-   	-sku-	      	x_1 dice/expresa x_2 a x_3 usando medio x_4	Ver también {bacru},  {tavla},  {casnu},  {spuda}.
cutci	gismu   	-cuc-		      	x_1 es un zapato/bota/sandalia/calzado (prenda de vestir) para cubrir/proteger pies x_2, de material x_3
cutne	gismu   	-cut-		      	x_1 es un pecho/tórax (parte del cuerpo) de x_2
cuxna	gismu   	-cux-   	-cu'a-	      	x_1 elige/escoge/selecciona x_2 de entre x_3
dacru	gismu   	-dac-		      	x_1 es un cajón en estructura x_2, un recipiente para contenido x_3
dacti	gismu   	-dai-		      	x_1 es una cosa/objeto material con presencia espaciotemporal	Ver también {mucti}.
dadjo	gismu   	-daj-		      	x_1 refleja cultura/religión taoísta en aspecto x_2
dakfu	gismu   	-dak-		      	x_1 es un cuchillo para cortar x_2, con hoja de material x_3
dakli	gismu			      	x_1 es una bolsa/saco para contenido x_2, de material x_3	Ver también {daski}.
damba	gismu   	-dab-   	-da'a-	      	x_1 pelea/combate/lucha contra x_2 por asunto x_3	Ver también {bradi},  {jamna}.
damri	gismu			      	x_1 es un tambor/bombo/cimbal/gongo (instrumento musical de percusión) con batidor x_2
dandu	gismu   	-dad-		      	x_1 cuelga/pende/está suspendido de x_2 por parte x_3
danfu	gismu   	-daf-		      	x_1 es la respuesta/solución a pregunta/problema x_2	Ver también {preti},  {nabmi},  {spuda}.
